x	y	label	showSelected1
-2.5	5	9 stations	1882
-2.5	5	11 stations	1883
-2.5	5	15 stations	1884
-2.5	5	12 stations	1885
-2.5	5	12 stations	1886
-2.5	5	4 stations	1887
-2.5	5	5 stations	1888
-2.5	5	5 stations	1889
-2.5	5	4 stations	1890
-2.5	5	6 stations	1891
-2.5	5	6 stations	1892
-2.5	5	17 stations	1893
-2.5	5	14 stations	1894
-2.5	5	3 stations	1895
-2.5	5	1 station	1896
-2.5	5	1 station	1897
-2.5	5	2 stations	1898
-2.5	5	11 stations	1899
-2.5	5	15 stations	1900
-2.5	5	9 stations	1901
-2.5	5	6 stations	1902
-2.5	5	12 stations	1903
-2.5	5	12 stations	1904
-2.5	5	22 stations	1905
-2.5	5	15 stations	1906
-2.5	5	10 stations	1907
-2.5	5	7 stations	1908
-2.5	5	13 stations	1909
-2.5	5	11 stations	1910
-2.5	5	1 station	1912
-2.5	5	1 station	1917
-2.5	5	1 station	1920
-2.5	5	3 stations	1921
-2.5	5	6 stations	1922
-2.5	5	79 stations	1923
-2.5	5	70 stations	1924
-2.5	5	67 stations	1925
-2.5	5	53 stations	1926
-2.5	5	54 stations	1927
-2.5	5	61 stations	1928
-2.5	5	36 stations	1929
-2.5	5	28 stations	1930
-2.5	5	40 stations	1931
-2.5	5	17 stations	1932
-2.5	5	32 stations	1933
-2.5	5	1 station	1949
-2.5	5	1 station	1950
-2.5	5	2 stations	1951
-2.5	5	10 stations	1952
-2.5	5	6 stations	1953
-2.5	5	10 stations	1954
-2.5	5	11 stations	1955
-2.5	5	6 stations	1956
-2.5	5	7 stations	1957
-2.5	5	7 stations	1958
-2.5	5	7 stations	1959
-2.5	5	11 stations	1960
-2.5	5	4 stations	1961
-2.5	5	7 stations	1962
-2.5	5	6 stations	1963
-2.5	5	4 stations	1964
-2.5	5	1 station	1965
-2.5	5	1 station	1966
-2.5	5	2 stations	1967
-2.5	5	5 stations	1968
-2.5	5	1 station	1969
-2.5	5	3 stations	1970
